unique_key,test_date,location,building_address,borough,community_board,pollutant_name,pollutant_symbol,result_value,unit_of_measurement,status,action_required,inspector,latitude,longitude
100001,2017-11-03T00:00:00,Storage Room B,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,42.55,ppb,Fail,Yes,S. Patel,40.665361,-73.916129
100002,2018-06-18T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,197.07,ppb,Fail,Yes,J. Williams,40.662154,-73.918812
100003,2018-08-18T00:00:00,Storage Room B,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,682.63,ppm,Pass,No,A. Chen,40.66485,-73.919179
100004,2018-07-11T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,145.6,ppb,Pass,No,A. Chen,40.661805,-73.918196
100005,2018-02-24T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,44.81,ppb,Pass,No,S. Patel,40.665207,-73.916939
100006,2017-04-17T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,670.08,ppm,Pass,No,K. Martinez,40.663194,-73.91616
100007,2018-04-22T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,626.66,ppm,Pass,No,S. Patel,40.664611,-73.916406
100008,2018-04-25T00:00:00,"Building 1, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,1.59,pCi/L,Pass,No,J. Williams,40.662958,-73.91942
100009,2018-01-03T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,58.36,ppb,Pass,No,M. Rodriguez,40.662033,-73.917402
100010,2017-06-29T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,199.22,ppb,Fail,Yes,S. Patel,40.662391,-73.916308
100011,2017-07-28T00:00:00,Storage Room B,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,128.56,ppb,Pass,No,D. Thompson,40.664924,-73.917815
100012,2018-08-04T00:00:00,"Building 1, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,29.63,µg/m³,Pass,No,S. Patel,40.664962,-73.916906
100013,2017-05-14T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,0.52,ppm,Pass,No,D. Thompson,40.664763,-73.918321
100014,2018-06-07T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,1112.83,ppm,Fail,Yes,A. Chen,40.662002,-73.918645
100015,2018-01-19T00:00:00,Storage Room A,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,61.46,%,Fail,Yes,K. Martinez,40.661583,-73.918782
100016,2017-09-18T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,26.26,ppb,Pass,No,S. Patel,40.664975,-73.91889
100017,2018-02-28T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,2.14,ppm,Borderline,No,A. Chen,40.662742,-73.919372
100018,2017-03-27T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,15.88,µg/m³,Pass,No,D. Thompson,40.663719,-73.917761
100019,2018-06-06T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,64.97,%,Fail,Yes,J. Williams,40.663256,-73.918591
100020,2018-01-11T00:00:00,Storage Room A,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,17.96,µg/m³,Pass,No,L. Johnson,40.661665,-73.917385
100021,2018-08-21T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,1.72,ppm,Pass,No,J. Williams,40.664691,-73.919095
100022,2018-02-09T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,654.23,ppm,Pass,No,L. Johnson,40.662337,-73.919057
100023,2017-12-31T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,39.67,µg/m³,Borderline,No,L. Johnson,40.663775,-73.919346
100024,2018-08-08T00:00:00,Storage Room B,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,35.85,%,Pass,No,K. Martinez,40.664768,-73.915678
100025,2017-08-10T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,188.06,ppb,Fail,Yes,S. Patel,40.663583,-73.917706
100026,2017-12-25T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,0.83,pCi/L,Pass,No,K. Martinez,40.66389,-73.918805
100027,2017-03-12T00:00:00,Storage Room A,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,153.05,ppb,Borderline,No,K. Martinez,40.662743,-73.917309
100028,2018-01-07T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,16.24,ppb,Pass,No,M. Rodriguez,40.662133,-73.915667
100029,2018-05-09T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,48.13,%,Pass,No,A. Chen,40.662618,-73.915615
100030,2017-08-25T00:00:00,Storage Room B,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,0.98,pCi/L,Pass,No,A. Chen,40.665425,-73.915786
100031,2017-07-31T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,2.59,ppb,Pass,No,K. Martinez,40.663997,-73.916291
100032,2017-05-15T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,21.66,ppb,Pass,No,S. Patel,40.664255,-73.918892
100033,2017-11-14T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,0.72,pCi/L,Pass,No,A. Chen,40.665245,-73.916406
100034,2018-04-05T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,6.32,ppb,Pass,No,A. Chen,40.663217,-73.918516
100035,2017-03-14T00:00:00,"Building 1, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,162.94,ppb,Borderline,No,M. Rodriguez,40.661861,-73.91719
100036,2018-05-25T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,45.33,%,Pass,No,L. Johnson,40.662934,-73.916316
100037,2017-11-10T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,19.28,ppb,Pass,No,K. Martinez,40.662365,-73.91691
100038,2017-03-26T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,729.19,ppm,Pass,No,J. Williams,40.665395,-73.917835
100039,2018-06-30T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,68.85,ppb,Fail,Yes,A. Chen,40.662215,-73.915798
100040,2017-07-05T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,0.29,ppm,Pass,No,K. Martinez,40.662641,-73.9157
100041,2017-03-02T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,3.68,pCi/L,Fail,Yes,D. Thompson,40.66227,-73.919467
100042,2017-05-15T00:00:00,"Building 1, Floor 3","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,55.43,ppb,Pass,No,D. Thompson,40.664083,-73.917255
100043,2018-03-23T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,0.52,ppm,Pass,No,S. Patel,40.664559,-73.918542
100044,2017-10-29T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,723.76,ppm,Pass,No,K. Martinez,40.664576,-73.917423
100045,2017-09-24T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,19.99,µg/m³,Borderline,No,L. Johnson,40.663498,-73.918399
100046,2018-07-23T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,1.93,pCi/L,Pass,No,M. Rodriguez,40.663781,-73.916029
100047,2017-09-15T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Dioxide,CO2,724.98,ppm,Pass,No,S. Patel,40.661931,-73.918051
100048,2017-06-26T00:00:00,Community Center,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,11.16,µg/m³,Pass,No,S. Patel,40.66457,-73.918319
100049,2017-03-28T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,8.26,µg/m³,Pass,No,S. Patel,40.664978,-73.917199
100050,2017-03-11T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,23.87,µg/m³,Fail,Yes,M. Rodriguez,40.6616,-73.916057
100051,2018-01-14T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,0.71,ppm,Pass,No,K. Martinez,40.664343,-73.915624
100052,2018-06-08T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,0.81,ppm,Pass,No,K. Martinez,40.663875,-73.919321
100053,2018-03-06T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,10.48,ppb,Pass,No,K. Martinez,40.661819,-73.91583
100054,2018-02-17T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,1.04,ppm,Pass,No,L. Johnson,40.663532,-73.918864
100055,2017-07-30T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,3.58,ppb,Pass,No,J. Williams,40.664763,-73.917793
100056,2017-08-31T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,12.5,µg/m³,Pass,No,L. Johnson,40.662744,-73.91634
100057,2018-02-11T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,17.65,ppb,Pass,No,S. Patel,40.662275,-73.917256
100058,2017-11-02T00:00:00,"Building 1, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,45.86,µg/m³,Fail,Yes,J. Williams,40.663646,-73.918899
100059,2017-05-04T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,1.09,ppm,Pass,No,A. Chen,40.661663,-73.918955
100060,2017-09-29T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,18.38,ppb,Pass,No,M. Rodriguez,40.665492,-73.916163
100061,2017-12-08T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,2.2,ppm,Borderline,No,S. Patel,40.663007,-73.918728
100062,2017-11-27T00:00:00,"Building 1, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,41.8,%,Pass,No,J. Williams,40.662518,-73.917224
100063,2017-06-06T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,24.54,ppb,Pass,No,K. Martinez,40.66369,-73.916337
100064,2017-10-03T00:00:00,"Building 1, Floor 2","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,31.13,ppb,Pass,No,K. Martinez,40.662036,-73.915762
100065,2018-01-13T00:00:00,Storage Room A,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Formaldehyde,HCHO,4.39,ppb,Pass,No,J. Williams,40.662978,-73.917992
100066,2018-07-07T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Nitrogen Dioxide,NO2,31.37,ppb,Pass,No,K. Martinez,40.661581,-73.918484
100067,2017-06-16T00:00:00,"Building 2, Floor 1","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Radon,Rn,1.48,pCi/L,Pass,No,D. Thompson,40.663042,-73.918213
100068,2018-04-05T00:00:00,"Building 3, Lobby","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Ozone,O3,30.63,ppb,Pass,No,J. Williams,40.665201,-73.916703
100069,2017-05-16T00:00:00,Laundry Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Relative Humidity,RH,43.18,%,Pass,No,S. Patel,40.663559,-73.917848
100070,2018-03-04T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Carbon Monoxide,CO,1.73,ppm,Pass,No,K. Martinez,40.664623,-73.917834
100071,2017-12-28T00:00:00,"Building 4, Hallway B","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 10,PM10,19.58,µg/m³,Pass,No,L. Johnson,40.661668,-73.916091
100072,2017-11-20T00:00:00,"Building 4, Hallway A","310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Particulate Matter 2.5,PM2.5,14.68,µg/m³,Pass,No,D. Thompson,40.663064,-73.917325
100073,2017-12-19T00:00:00,Recreation Room,"310 Rockaway Ave, Brooklyn, NY 11212",Brooklyn,5,Volatile Organic Compounds,VOC,77.35,ppb,Pass,No,A. Chen,40.664264,-73.917735
